event_id,file,event_group,date,glider_type,recorder_type,event_start_time_utc,event_end_time_utc,event_start_seconds,event_end_seconds,event_duration_seconds,event_duration_log,brief_event_indicator,sustained_event_indicator,start_latitude,start_longitude,pressure_altitude_at_start_m,gnss_altitude_at_start_m,analysis_altitude_at_start_m,terrain_elevation_m,start_agl_m,applicable_agl_threshold_m,above_required_agl,pre_vertical_speed_mean_mps,post_vertical_speed_mean_mps,vertical_speed_change_mps,post_altitude_change_m,post_climb_indicator,vertical_response_improved,post_altitude_gain_indicator,post_altitude_loss_indicator,large_post_altitude_gain_indicator,ENL_evidence,MOP_evidence,RPM_evidence,ENL_event_max,ENL_pre_median,ENL_post_median,ENL_increase_from_pre,ENL_relative_increase,MOP_event_max,MOP_pre_median,MOP_post_median,MOP_increase_from_pre,MOP_relative_increase,RPM_event_max,RPM_pre_median,RPM_post_median,RPM_increase_from_pre,RPM_relative_increase,available_motor_sensor_count,observed_motor_signal_count,motor_evidence_coverage,descriptive_evidence_count,ENL_available,MOP_available,RPM_available,TAS_available,GSP_available,VAT_available,ACZ_available,pre_window_rows,post_window_rows,pre_window_complete,post_window_complete,complete_event_context,missing_start_altitude,missing_start_location,missing_vertical_response,source_processing_status,source_time_series_rows,source_candidate_event_count,sponsor_verified_label,decision_tree_classification,manual_review_status,review_notes
4536-9239003146.igc__event_5,4536-9239003146.igc,5,,Default,"LXNAV,LX9070",22:29:42,22:30:11,80982.0,81011.0,30.0,3.4339872044851463,False,True,29.2142,-99.74615,279.0,260.0,260.0,,,,,-2.95,0.0,2.95,-2.0,False,True,False,True,False,True,False,False,854.0,4.0,4.0,850.0,212.5,,,,,,,,,,,1,1,1.0,3,True,False,False,True,True,True,True,60,26,True,False,False,False,False,False,processed,14655,6,,,not reviewed,
4536-9239003146.igc__event_6,4536-9239003146.igc,6,,Default,"LXNAV,LX9070",22:30:37,22:30:37,81037.0,81037.0,1.0,0.6931471805599453,True,False,29.211033333333333,-99.74468333333331,280.0,258.0,258.0,,,,,0.0,,,,False,False,False,False,False,True,False,False,24.0,9.0,,15.0,1.6666666666666667,,,,,,,,,,,1,1,1.0,1,True,False,False,True,True,True,True,60,0,True,False,False,False,False,True,processed,14655,6,,,not reviewed,
4536-9239003148.igc__event_1,4536-9239003148.igc,1,,Ventus 3T,"LXNAV,LX9000F",20:16:28,20:16:33,72988.0,72993.0,6.0,1.9459101490553132,False,False,29.193166666666663,-99.70738333333334,1156.0,1215.0,1215.0,,,,,1.75,2.433333333333333,0.6833333333333331,315.0,True,True,True,False,True,True,False,False,424.0,216.0,4.0,208.0,0.9629629629629629,,,,,,,,,,,1,1,1.0,4,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,6456,1,,,not reviewed,
4536-9239003150.igc__event_1,4536-9239003150.igc,1,,JS-3-18m,"LXNAV,LX9070PF",19:41:05,19:41:26,70865.0,70886.0,22.0,3.1354942159291497,False,True,29.182116666666666,-99.76311666666666,636.0,668.0,668.0,,,,,2.533333333333333,0.614406779661017,-1.9189265536723163,138.0,True,False,True,False,True,True,False,False,478.0,8.0,24.0,470.0,58.75,14.0,12.0,12.0,2.0,0.16666666666666666,,,,,,2,1,0.5,4,True,True,False,True,True,True,True,60,118,True,True,True,False,False,False,processed,12952,6,,,not reviewed,
4536-9239003150.igc__event_2,4536-9239003150.igc,2,,JS-3-18m,"LXNAV,LX9070PF",19:42:04,19:42:37,70924.0,70957.0,34.0,3.5553480614894135,False,True,29.1706,-99.75048333333334,812.0,860.0,860.0,,,,,3.059322033898305,-1.2457627118644068,-4.305084745762712,-80.0,False,False,False,True,False,True,False,False,442.0,22.0,4.0,420.0,19.09090909090909,14.0,12.0,12.0,2.0,0.16666666666666666,,,,,,2,1,0.5,2,True,True,False,True,True,True,True,59,118,True,True,True,False,False,False,processed,12952,6,,,not reviewed,
4536-9239003150.igc__event_3,4536-9239003150.igc,3,,JS-3-18m,"LXNAV,LX9070PF",19:52:44,19:52:49,71564.0,71569.0,6.0,1.9459101490553132,False,False,29.192966666666667,-99.73223333333334,1652.0,1750.0,1750.0,,,,,3.610169491525424,0.5546218487394958,-3.0555476427859283,94.0,True,False,True,False,True,False,True,False,40.0,4.0,4.0,36.0,9.0,912.0,12.0,12.0,900.0,75.0,,,,,,2,1,0.5,3,True,True,False,True,True,True,True,59,119,True,True,True,False,False,False,processed,12952,6,,,not reviewed,
4536-9239003150.igc__event_4,4536-9239003150.igc,4,,JS-3-18m,"LXNAV,LX9070PF",22:59:30,22:59:43,82770.0,82783.0,14.0,2.70805020110221,False,False,28.94953333333333,-99.6483,1552.0,1620.0,1620.0,,,,,-2.2,-2.783333333333333,-0.583333333333333,-335.0,False,False,False,True,False,False,True,False,4.0,4.0,4.0,0.0,0.0,998.0,12.0,59.0,986.0,82.16666666666667,,,,,,2,1,0.5,1,True,True,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,12952,6,,,not reviewed,
4536-9239003150.igc__event_5,4536-9239003150.igc,5,,JS-3-18m,"LXNAV,LX9070PF",23:00:08,23:00:17,82808.0,82817.0,10.0,2.3978952727983707,False,False,28.973366666666667,-99.65556666666669,1450.0,1514.0,1514.0,,,,,-2.7666666666666666,-2.949152542372881,-0.18248587570621444,-347.0,False,False,False,True,False,False,True,False,4.0,4.0,4.0,0.0,0.0,990.0,13.0,473.0,977.0,75.15384615384616,,,,,,2,1,0.5,1,True,True,False,True,True,True,True,60,118,True,True,True,False,False,False,processed,12952,6,,,not reviewed,
4536-9239003150.igc__event_6,4536-9239003150.igc,6,,JS-3-18m,"LXNAV,LX9070PF",23:00:52,23:01:43,82852.0,82903.0,52.0,3.970291913552122,False,True,28.99943333333333,-99.66646666666666,1333.0,1380.0,1380.0,,,,,-3.4,-2.389830508474576,1.0101694915254238,-369.0,False,True,False,True,False,False,True,False,4.0,4.0,4.0,0.0,0.0,998.0,12.0,532.0,986.0,82.16666666666667,,,,,,2,1,0.5,3,True,True,False,True,True,True,True,60,118,True,True,True,False,False,False,processed,12952,6,,,not reviewed,
4536-9239003151.igc__event_1,4536-9239003151.igc,1,"110824,1",JS-3-18m,"LXNAV,LX9070F",21:14:51,21:15:39,76491.0,76539.0,49.0,3.912023005428146,False,True,29.16545,-99.83585,2024.0,2161.0,2161.0,,,,,-2.216666666666667,-0.8166666666666667,1.4000000000000001,-199.0,False,True,False,True,False,False,True,False,4.0,4.0,4.0,0.0,0.0,201.0,17.0,131.0,184.0,10.823529411764707,,,,,,2,1,0.5,3,True,True,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,11103,13,,,not reviewed,
