file,date,glider_type,recorder_type,gps_receiver,pressure_sensor,motor_sensor,extensions,b_record_count,valid_b_record_count,invalid_b_record_count,has_i_record,parse_error,FXA,ENL,MOP,RPM,TAS,GSP,VAT,NET,ACZ,AOR,AOP,OAT,extension_count
4536-9239003400.igc,"200824,1",JS-3-18m_2L,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10161,ET=582,41,582,41,2.68V,p=70),SW:201, HW:2","ACZ,AOA,AOP,AOR,ENL,FXA,GSP,MOP,NET,OAT,SIU,TAS,TRT,VAT",16905,16902,3,True,,True,True,True,False,True,True,True,True,True,True,True,True,14
4536-9239003401.igc,"200824,1",18m AS33 @ventus,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOA,AOP,AOR,ENL,FXA,GSP,NET,OAT,SIU,TAS,TRT,VAT",17551,17521,30,True,,True,True,False,False,True,True,True,True,True,True,True,True,13
4536-9239003402.igc,"200824,1",JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOA,AOP,AOR,ENL,FXA,GSP,NET,OAT,SIU,TAS,TRT,VAT",16795,16795,0,True,,True,True,False,False,True,True,True,True,True,True,True,True,13
4536-9239003403.igc,,JS-3-18m Abm,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10181,ET=233,56,233,56,0.04V,p=1),SW:100, HW:2","ACZ,AOP,AOR,ENL,FXA,GSP,MOP,NET,OAT,TAS,TRT,VAT",18423,18423,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,12
4536-9239003404.igc,"200824,1",JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOA,AOP,AOR,ENL,FXA,GSP,NET,OAT,SIU,TAS,TRT,VAT",17432,17428,4,True,,True,True,False,False,True,True,True,True,True,True,True,True,13
4536-9239003405.igc,,AS 33Es 18m,"LXNAV,LX9070","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,ENL,FXA,GSP,OAT,TAS,TRT,VAT",17293,17293,0,True,,True,True,False,False,True,True,True,False,True,False,False,True,8
4536-9239003406.igc,,JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10295,ET=1764,7,1764,7,0.05V,p=1),SW:100, HW:2","ACZ,AOP,AOR,ENL,FXA,GSP,MOP,OAT,TAS,TRT,VAT",17573,17573,0,True,,True,True,True,False,True,True,True,False,True,True,True,True,11
4536-9239003407.igc,,Ventus 3M,"LXNAV,LX9070","uBLOX NEO-M9N,92,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOP,AOR,ENL,FXA,GSP,NET,OAT,TAS,TRT,VAT",16145,16145,0,True,,True,True,False,False,True,True,True,True,True,True,True,True,11
4536-9239003408.igc,,Ventus 3T,"LXNAV,LX9070","uBLOX NEO-M9N,92,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOA,AOP,AOR,ENL,FXA,GSP,NET,OAT,TAS,TRT,VAT",16368,16368,0,True,,True,True,False,False,True,True,True,True,True,True,True,True,12
4536-9239003409.igc,,JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10190,ET=25622,184,25622,184,0.02V,p=1),SW:100, HW:2","ACZ,AOP,AOR,ENL,FXA,GSP,MOP,NET,OAT,TAS,TRT,VAT",18701,18701,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,12
